INSTALACAO ORIGEM;MUNICIPIO ORIGEM;UF ORIGEM;MODAL ORIGEM;INSTALACAO DESTINO;MUNICIPIO DESTINO;UF DESTINO;REDE_ORIGEM;REDE_DESTINO
BASE PRIMARIA/TERMINAL;RIBEIRAO PRETO;SP;FERROVIARIO;BASE PRIMARIA/TERMINAL;UBERABA;MG;B;C
BASE PRIMARIA/TERMINAL;RIBEIRAO PRETO;SP;RODOVIARIO;BASE PRIMARIA/TERMINAL;ALTO TAQUARI;MT;B;C
BASE PRIMARIA/TERMINAL;PAULINIA;SP;FERROVIARIO;BASE SECUNDARIA;CAMPO GRANDE;MS;B;C
BASE PRIMARIA/TERMINAL;PAULINIA;SP;RODOVIARIO;BASE SECUNDARIA;PAULINIA;SP;B;C
BASE PRIMARIA/TERMINAL;SANTOS;SP;RODOVIARIO;BASE PRIMARIA/TERMINAL;SAO CAETANO DO SUL;SP;B;C
BASE PRIMARIA/TERMINAL;CUBATAO;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SAO CAETANO DO SUL;SP;B;C
BASE PRIMARIA/TERMINAL;SAO CAETANO DO SUL;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SAO PAULO;SP;B;C
BASE PRIMARIA/TERMINAL;GUARULHOS;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SAO CAETANO DO SUL;SP;B;C
BASE PRIMARIA/TERMINAL;GUARAREMA;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;PAULINIA;SP;B;C
BASE PRIMARIA/TERMINAL;GUARULHOS;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;UBERABA;MG;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;RODOVIARIO;BASE SECUNDARIA;CASCAVEL;PR;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;FERROVIARIO;BASE SECUNDARIA;LONDRINA;PR;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;FERROVIARIO;BASE SECUNDARIA;MARINGA;PR;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;DUTOVIARIO;BASE PRIMARIA/TERMINAL;GUARAMIRIM;SC;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;RODOVIARIO;BASE SECUNDARIA;CASCAVEL;PR;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;RODOVIARIO;BASE SECUNDARIA;ASSIS CHATEAUBRIAND;PR;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;RODOVIARIO;BASE SECUNDARIA;CAMPO LARGO;PR;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;RODOVIARIO;BASE SECUNDARIA;CIANORTE;PR;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;FERROVIARIO;BASE SECUNDARIA;GUARAPUAVA;PR;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;RODOVIARIO;BASE SECUNDARIA;IGUATEMI;MS;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;FERROVIARIO;BASE SECUNDARIA;LONDRINA;PR;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;FERROVIARIO;BASE SECUNDARIA;MARINGA;PR;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;RODOVIARIO;BASE SECUNDARIA;NOVA ESPERANCA;PR;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;RODOVIARIO;BASE SECUNDARIA;PINHAIS;PR;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;RODOVIARIO;BASE SECUNDARIA;PONTA GROSSA;PR;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;RODOVIARIO;BASE SECUNDARIA;RENASCENCA;PR;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;RODOVIARIO;BASE SECUNDARIA;SAO MATEUS DO SUL;PR;B;C
BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;RODOVIARIO;BASE SECUNDARIA;UMUARAMA;PR;B;C
BASE PRIMARIA/TERMINAL;ESTEIO;RS;FERROVIARIO;BASE SECUNDARIA;CRUZ ALTA;RS;B;C
BASE PRIMARIA/TERMINAL;ESTEIO;RS;FERROVIARIO;BASE SECUNDARIA;IJUI;RS;B;C
BASE PRIMARIA/TERMINAL;ESTEIO;RS;FERROVIARIO;BASE SECUNDARIA;PASSO FUNDO;RS;B;C
BASE PRIMARIA/TERMINAL;ESTEIO;RS;FERROVIARIO;BASE SECUNDARIA;PASSO FUNDO;RS;B;C
BASE PRIMARIA/TERMINAL;CANOAS;RS;FERROVIARIO;BASE SECUNDARIA;PASSO FUNDO;RS;B;C
BASE PRIMARIA/TERMINAL;CANOAS;RS;FERROVIARIO;BASE SECUNDARIA;SANTA MARIA;RS;B;C
BASE SECUNDARIA;CANOAS;RS;RODOVIARIO;BASE SECUNDARIA;TUBARAO;SC;B;C
