,source,target,volume_m3,volume_perc,distancia
245,REFI SENADOR GUIOMARD,DIST SENADOR GUIOMARD,,,1.0
246,REFI BOA VISTA,DIST BOA VISTA,,,1.0
247,DIST VILHENA,DIST SINOP,0.0,0.0,513.6654404893288
248,REFI RONDONOPOLIS,REFI CUIABA,,,183.385212801209
249,REFI RONDONOPOLIS,REFI VARZEA GRANDE,,,184.02189860581439
250,REFI RONDONOPOLIS,REFI VILHENA,,,722.7560998308131
251,REFI PRESIDENTE PRUDENTE,DIST PRESIDENTE PRUDENTE,,,1.0
252,REFI UBERLANDIA,REFI SENADOR CANEDO,,,260.04662677202555
253,REFI PASSOS,DIST PASSOS,,,1.0
254,DIST ARACATUBA,CONS ARACATUBA,,,1.0
255,DIST CAMPO GRANDE,DIST CAMPO GRANDE,1.0,1.5601655048530196e-08,1.0
256,DIST CAMPO GRANDE,CONS CAMPO GRANDE,,,1.0
257,DIST CASCAVEL,DIST ARAUCARIA,148.0,2.309044947182469e-06,413.60180197740584
258,DIST CASCAVEL,CONS CASCAVEL,,,1.0
259,REFI SARANDI,DIST SARANDI,,,1.0
260,DIST MARINGA,DIST ARAUCARIA,32374.0,0.0005050879805411166,351.3088724266323
261,DIST MARINGA,CONS MARINGA,,,1.0
262,REFI ITAJAI,REFI BIGUACU,,,65.15770062541922
263,DIST GUARAPUAVA,CONS GUARAPUAVA,,,1.0
264,DIST PINHAIS,CONS PINHAIS,,,1.0
265,DIST RENASCENCA,CONS RENASCENCA,,,1.0
266,DIST UMUARAMA,CONS UMUARAMA,,,1.0
267,DIST CRUZ ALTA,CONS CRUZ ALTA,,,1.0
268,DIST IJUI,CONS IJUI,,,1.0
269,REFI IRANI,DIST IRANI,,,1.0
270,REFI CHAPECO,DIST CHAPECO,,,1.0
271,REFI PORTO NACIONAL,DIST PORTO NACIONAL,,,1.0
272,DIST SINOP,DIST SINOP,1.0,1.5601655048530196e-08,1.0
273,DIST SINOP,CONS SINOP,,,1.0
274,DIST CUIABA,CONS CUIABA,,,1.0
275,DIST PRESIDENTE PRUDENTE,DIST SINOP,0.0,0.0,1221.7254648453347
276,DIST PRESIDENTE PRUDENTE,CONS PRESIDENTE PRUDENTE,,,1.0
277,REFI SENADOR CANEDO,REFI BRASILIA,,,161.39612615430983
278,REFI SENADOR CANEDO,REFI GOIANIA,,,18.57673965188904
279,REFI SENADOR CANEDO,REFI BARRA DO GARCAS,,,350.8940207984396
280,REFI SENADOR CANEDO,REFI BARRO ALTO,,,194.75241305527885
281,REFI SENADOR CANEDO,REFI GURUPI,,,553.8120714960229
282,REFI SENADOR CANEDO,REFI NIQUELANDIA,,,258.33145902872116
283,DIST OURINHOS,CONS OURINHOS,,,1.0
284,DIST SARANDI,CONS SARANDI,,,1.0
285,REFI BIGUACU,DIST BIGUACU,,,1.0
286,DIST PORTO NACIONAL,DIST PORTO NACIONAL,9261.0,0.00014448692740443814,1.0
287,DIST PORTO NACIONAL,DIST GURUPI,30.0,4.6804965145590587e-07,134.82329301144142
288,DIST PORTO NACIONAL,CONS PORTO NACIONAL,,,1.0
289,REFI BRASILIA,DIST BRASILIA,,,1.0
290,REFI GOIANIA,DIST GOIANIA,,,1.0
291,REFI BARRA DO GARCAS,DIST BARRA DO GARCAS,,,1.0
292,REFI BARRO ALTO,DIST BARRO ALTO,,,1.0
293,REFI GURUPI,DIST GURUPI,,,1.0
294,REFI NIQUELANDIA,DIST NIQUELANDIA,,,1.0
295,DIST BIGUACU,DIST BIGUACU,231109.0,0.003605682896610765,1.0
296,DIST BIGUACU,DIST TUBARAO,9365.0,0.00014610949952948527,113.90088554591246
297,DIST BIGUACU,DIST ITAJAI,65.0,1.0141075781544627e-06,65.15770062541922
298,DIST BIGUACU,CONS BIGUACU,,,1.0
299,DIST BRASILIA,DIST BRASILIA,1129854.0,0.017627592363202035,1.0
300,DIST BRASILIA,DIST BETIM,100628.0,0.0015699633442234967,610.2632470507862
301,DIST BRASILIA,DIST UBERLANDIA,52374.0,0.0008171210815117205,350.4713805845111
302,DIST BRASILIA,DIST RIBEIRAO PRETO,2286.0,3.566538344094003e-05,599.5181513401682
303,DIST BRASILIA,DIST PAULINIA,349.0,5.444977611937038e-06,779.8636304219775
304,DIST BRASILIA,CONS BRASILIA,,,1.0
305,DIST GOIANIA,DIST SENADOR CANEDO,15.0,2.3402482572795293e-07,18.57673965188904
306,DIST GOIANIA,CONS GOIANIA,,,1.0
307,DIST GURUPI,CONS GURUPI,,,1.0
308,DIST JARDINOPOLIS,CONS JARDINOPOLIS,,,1.0
309,DIST RIBEIRAO PRETO,DIST RIBEIRAO PRETO,880073.0,0.013730595363525114,1.0
310,DIST RIBEIRAO PRETO,DIST SAO PAULO,28258.0,0.0004408715683613663,289.00514879839284
311,DIST RIBEIRAO PRETO,DIST JARDINOPOLIS,10630.0,0.00016584559316587598,17.690469945771788
312,DIST RIBEIRAO PRETO,DIST PAULINIA,7919.0,0.00012354950632931062,188.89700117298025
313,DIST RIBEIRAO PRETO,CONS RIBEIRAO PRETO,,,1.0
314,DIST SAO PAULO,DIST GUARULHOS,628825.0,0.009810710735892,13.951717112530972
315,DIST SAO PAULO,DIST PAULINIA,529521.0,0.008261403982952758,101.03975140294419
316,DIST SAO PAULO,DIST CUBATAO,189187.0,0.0029516303136662824,45.47276263570937
317,DIST SAO PAULO,DIST BARUERI,67619.0,0.0010549683127265633,24.605408532743056
318,DIST SAO PAULO,DIST SAO PAULO,52569.0,0.0008201634042461839,1.0
319,DIST SAO PAULO,DIST RIBEIRAO PRETO,50067.0,0.0007811280633147613,289.00514879839284
320,DIST SAO PAULO,DIST PORTO NACIONAL,45829.0,0.0007150082492190904,1438.912573288065
321,DIST SAO PAULO,DIST PRESIDENTE PRUDENTE,15128.0,0.0002360218375741648,511.76448876106036
