Ranking;Rodovia;Sobreposições existentes;UF;Região;Município inicial;Município final;Jurisdição;Gestão;Extensão pesquisada (KM);Escalas de extensão;Classificação geral
190;BR-101;BR-030, BR-110, BR-251, BR-367, BR-415, BR-420;BA;Nordeste;Rio Real;Mucuri;Federal;Pública;954;Mais de 500 km;Regular
189;GO-118;BR-010;GO;Centro-Oeste;Campos Belos;Planaltina;Estadual;Pública;352;Mais de 250 km até 500 km;Regular
188;SP-563;BR-158, BR-262;SP;Sudeste;Pereira Barreto;Presidente Venceslau;Estadual;Pública;171;Mais de 100 km até 250 km;Regular
187;BR-153;BR-262, BR-364, BR-452, BR-464;MG;Sudeste;Araporã;Fronteira;Federal;Concessionada;248;Mais de 100 km até 250 km;Regular
186;BR-235;BR-135, BR-330;PI;Nordeste;Bom Jesus;Santa Filomena;Federal;Pública;287;Mais de 250 km até 500 km;Regular
185;BR-232;BR-423;PE;Nordeste;Recife;Parnamirim;Federal;Pública;570;Mais de 500 km;Regular
184;BR-070;BR-174;MT;Centro-Oeste;Várzea Grande;Cáceres;Federal;Pública;294;Mais de 250 km até 500 km;Regular
183;BR-430;BR-242;BA;Nordeste;Barreiras;Cristópolis;Federal;Pública;69;Até 100 km;Regular
182;BR-416;BR-101, BR-104;AL;Nordeste;Novo Lino;São José da Laje;Federal;Pública;63;Até 100 km;Regular
181;BR-070;BR-158, BR-414;GO;Centro-Oeste;Águas Lindas de Goiás;Cocalzinho de Goiás;Federal;Pública;70;Até 100 km;Regular
180;GO-244;-;GO;Centro-Oeste;São Miguel do Araguaia;Porangatu;Estadual;Pública;124;Mais de 100 km até 250 km;Regular
179;BR-104;BR-230;PB;Nordeste;Nova Floresta;Alcantil;Federal;Pública;204;Mais de 100 km até 250 km;Regular
178;MG-267;BR-267;MG;Sudeste;Machado;Poços de Caldas;Estadual;Pública;74;Até 100 km;Regular
177;BR-101;BR-304, BR-406;RN;Nordeste;Touros;Baía Formosa;Federal;Pública;185;Mais de 100 km até 250 km;Regular
176;BR-163;-;MT;Centro-Oeste;Guarantã do Norte;Sinop;Federal;Pública;267;Mais de 250 km até 500 km;Regular
175;BR-116;BR-122, BR-226, BR-230;CE;Nordeste;Fortaleza;Penaforte;Federal;Pública;560;Mais de 500 km;Regular
174;BR-352;BR-354, BR-365;MG;Sudeste;Patos de Minas;Arapuá;Federal;Pública;79;Até 100 km;Regular
173;MG-677;-;MG;Sudeste;Virgem da Lapa;Turmalina;Estadual;Pública;95;Até 100 km;Regular
172;SP-250;BR-373, BR-476;SP;Sudeste;Capão Bonito;Ribeira;Estadual;Pública;128;Mais de 100 km até 250 km;Regular
171;GO-080;-;GO;Centro-Oeste;Barro Alto;Goiânia;Estadual;Pública;187;Mais de 100 km até 250 km;Regular
170;BR-070;BR-158;MT;Centro-Oeste;Campo Verde;Pontal do Araguaia;Federal;Pública;424;Mais de 250 km até 500 km;Regular
169;BR-402;-;MA;Nordeste;Humberto de Campos;Barreirinhas;Federal;Pública;77;Até 100 km;Regular
168;BR-153;BR-080, BR-414;GO;Centro-Oeste;Porangatu;Anápolis;Federal;Pública;447;Mais de 250 km até 500 km;Regular
167;BR-230;BR-116;CE;Nordeste;Ipaumirim;Farias Brito;Federal;Pública;116;Mais de 100 km até 250 km;Regular
166;BR-135;BR-235, BR-324, BR-330, BR-343;PI;Nordeste;Jerumenha;Cristalândia do Piauí;Federal;Pública;608;Mais de 500 km;Regular
165;SP-595;-;SP;Sudeste;Três Fronteiras;Ilha Solteira;Estadual;Pública;57;Até 100 km;Regular
164;BR-230;BR-010, BR-135, BR-226;MA;Nordeste;Estreito;Barão de Grajaú;Federal;Pública;671;Mais de 500 km;Regular
163;BR-428;BR-122, BR-235, BR-316, BR-407;PE;Nordeste;Belém do São Francisco;Petrolina;Federal;Pública;197;Mais de 100 km até 250 km;Regular
162;BR-452;BR-154, BR-483;GO;Centro-Oeste;Rio Verde;Itumbiara;Federal;Pública;197;Mais de 100 km até 250 km;Regular
161;BR-308;BR-010, BR-316;PA;Norte;Augusto Corrêa;Belém;Federal;Pública;227;Mais de 100 km até 250 km;Regular
160;BR-235;BR-101, BR-349;SE;Nordeste;Carira;Aracaju;Federal;Pública;116;Mais de 100 km até 250 km;Regular
159;GO-060;-;GO;Centro-Oeste;Piranhas;Goiânia;Estadual;Pública;307;Mais de 250 km até 500 km;Regular
