,position,refino,distribuicao,postos,custo_gasolina,desvio_gasolina,postos_preco,custo_diesel,desvio_diesel
JAGUAQUARA,"(-39.964, -13.5248)",,,15.0,8.084,0.159,27.0,7.677,0.404
UBAITABA,"(-39.3222, -14.303)",,,3.0,,,,,
AGUA DOCE,"(-51.5528, -26.9985)",,,5.0,,,,,
SANTA CECILIA,"(-50.4252, -26.9592)",,,2.0,,,,,
GENERAL CARNEIRO,"(-51.3172, -26.425)",,,4.0,,,,,
TUTOIA,"(-42.2755, -2.76141)",,,18.0,,,,,
BREJO,"(-42.7527, -3.67796)",,,16.0,,,,,
BURITI DOS LOPES,"(-41.8695, -3.18259)",,,7.0,,,,,
BARREIRINHAS,"(-42.8232, -2.75863)",,,13.0,,,,,
JATAI,"(-51.7204, -17.8784)",,,30.0,7.628,0.209,48.0,7.265,0.362
APORE,"(-51.9232, -18.9607)",,,1.0,,,,,
CHAPADAO DO CEU,"(-52.549, -18.4073)",,,3.0,,,,,
SAO SIMAO,"(-50.547, -18.996)",,,7.0,,,,,
ASSUNCAO,"(-36.725, -7.07231)",,,1.0,,,,,
TEIXEIRA,"(-37.2525, -7.22104)",,,4.0,,,,,
PARANA,"(-47.8734, -12.6167)",,,2.0,,,,,
JAU DO TOCANTINS,"(-48.589, -12.6509)",,,2.0,,,,,
GOVERNADOR NUNES FREIRE,"(-45.8777, -2.12899)",,,8.0,,,,,
ALCANTARA,"(-44.4062, -2.39574)",,,3.0,,,,,
INOCENCIA,"(-51.9281, -19.7277)",,,5.0,,,,,
AGUA CLARA,"(-52.879, -20.4452)",,,5.0,,,,,
CASSILANDIA,"(-51.7313, -19.1179)",,,5.0,,,,,
ITARUMA,"(-51.3485, -18.7646)",,,3.0,,,,,
BRASILANDIA,"(-52.0365, -21.2544)",,,3.0,,,,,
MONTIVIDIU DO NORTE,"(-48.6853, -13.3485)",,,3.0,,,,,
FORMOSO,"(-48.8775, -13.6499)",,,1.0,,,,,
PORANGATU,"(-49.1503, -13.4391)",,,18.0,7.929,0.096,18.0,7.503,0.367
TALISMA,"(-49.0896, -12.7949)",,,2.0,,,,,
ANGRA DOS REIS,"(-44.3196, -23.0011)",,,26.0,8.324,0.217,27.0,7.235,0.598
ITAGUAI,"(-43.7798, -22.8636)",,,17.0,7.757,0.319,28.0,7.222,0.677
SAO VICENTE DO SUL,"(-54.6826, -29.6882)",,,3.0,,,,,
ROSARIO DO SUL,"(-54.9221, -30.2515)",,,11.0,,,,,
SERTANIA,"(-37.2684, -8.06847)",,,14.0,,,,,
MONTEIRO,"(-37.1184, -7.88363)",,,8.0,,,,,
IBIMIRIM,"(-37.7032, -8.54026)",,,6.0,,,,,
FLORESTA,"(-38.5687, -8.60307)",,,4.0,,,,,
ITAIBA,"(-37.4173, -8.94569)",,,7.0,,,,,
INAJA,"(-37.8351, -8.90206)",,,3.0,,,,,
PARANAIBA,"(-51.1909, -19.6746)",,,12.0,,,,,
CARNEIRINHO,"(-50.6894, -19.6987)",,,6.0,,,,,
CACADOR,"(-51.012, -26.7757)",,,16.0,7.39,0.216,34.0,7.312,0.369
PORTO UNIAO,"(-51.0759, -26.2451)",,,9.0,,,,,
UNIAO DA VITORIA,"(-51.0873, -26.2273)",,,13.0,7.331,0.157,32.0,7.189,0.407
ARAGARCAS,"(-52.2372, -15.8955)",,,8.0,,,,,
PONTAL DO ARAGUAIA,"(-52.3273, -15.9274)",,,2.0,,,,,
MOITA BONITA,"(-37.3512, -10.5769)",,,2.0,,,,,
TOBIAS BARRETO,"(-37.9995, -11.1798)",,,6.0,,,,,
ITAPORANGA D'AJUDA,"(-37.3078, -10.99)",,,6.0,,,,,
ARACAJU,"(-37.0677, -10.9091)",,,81.0,7.283,0.143,84.0,7.34,0.212
PORTO REAL DO COLEGIO,"(-36.8376, -10.1849)",,,3.0,,,,,
