,position,postos,custo_gasolina,desvio_gasolina,postos_preco,custo_diesel,desvio_diesel
CONS MARINGA,"(-51.9333, -23.4205)",85.0,7.266,0.195,68.0,6.96,0.463
CONS SAO FRANCISCO DO CONDE,"(array([-38.6786]), array([-12.6183]))",,,,,,
CONS CANDEIAS,"(array([-38.5472]), array([-12.6716]))",,,,,,
CONS CORONEL BARROS,"(array([-54.0686]), array([-28.3921]))",,,,,,
DIST MONTENEGRO,"(-51.4679, -29.6824)",,,,,,
CONS CANOAS,"(-51.1857, -29.9128)",21.0,6.606,0.16,85.0,6.778,0.357
DIST GUARAMIRIM,"(-49.0026, -26.4688)",,,,,,
DIST JARAGUA DO SUL,"(-49.0713, -26.4851)",,,,,,
DIST ITAJAI,"(-48.6705, -26.9101)",,,,,,
DIST BRUSQUE,"(-48.9107, -27.0977)",,,,,,
CONS GUARAMIRIM,"(array([-49.0026]), array([-26.4688]))",,,,,,
CONS TUBARAO,"(array([-49.0144]), array([-28.4713]))",,6.808,0.162,40.0,7.017,0.376
CONS BAURU,"(-49.0871, -22.3246)",5.0,6.754,0.27,107.0,6.983,0.382
CONS LAJEADO,"(-48.3565, -9.74996)",2.0,6.835,0.128,24.0,6.687,0.362
DIST RECIFE,"(-34.8771, -8.04666)",,,,,,
CONS JARDINOPOLIS,"(array([-47.7606]), array([-21.0176]))",,,,,,
CONS SARANDI,"(array([-51.876]), array([-23.4441]))",,,,,,
CONS CASCAVEL,"(-53.459, -24.9573)",24.0,7.225,0.217,66.0,7.07,0.371
CONS PRESIDENTE PRUDENTE,"(-51.3925, -22.1207)",6.0,6.898,0.217,86.0,7.244,0.363
CONS IJUI,"(array([-53.92]), array([-28.388]))",,7.021,0.148,29.0,7.154,0.372
DIST IPOJUCA,"(-35.0609, -8.39303)",,,,,,
DIST GOIANESIA,"(-49.1162, -15.3118)",,,,,,
DIST MANAUS,"(-60.0212, -3.11866)",,,,,,
CONS MANAUS,"(-60.0212, -3.11866)",306.0,7.272,0.183,164.0,7.174,0.403
CONS FEIRA DE SANTANA,"(-38.9663, -12.2664)",114.0,7.811,0.247,90.0,7.569,0.361
CONS ITAJAI,"(array([-48.6705]), array([-26.9101]))",,7.027,0.118,35.0,7.34,0.563
CONS BRUSQUE,"(array([-48.9107]), array([-27.0977]))",,7.272,0.109,40.0,7.245,0.399
DIST CURITIBA,"(-49.2646, -25.4195)",,,,,,
CONS SANTA MARIA,"(-53.8149, -29.6868)",3.0,7.215,0.2,40.0,7.258,0.447
CONS LONDRINA,"(-51.1691, -23.304)",4.0,7.212,0.317,84.0,7.138,0.305
CONS JARAGUA DO SUL,"(array([-49.0713]), array([-26.4851]))",,6.861,0.261,56.0,7.15,0.45
CONS LUIS EDUARDO MAGALHAES,"(-45.7866, -12.0956)",33.0,,,,,
CONS ESTEIO,"(array([-51.1841]), array([-29.852]))",,6.687,0.223,45.0,6.83,0.419
CONS CABEDELO,"(-34.8284, -6.98731)",5.0,7.159,0.111,22.0,7.166,0.679
CONS VITORIA,"(-40.3128, -20.3155)",46.0,7.344,0.164,83.0,7.102,0.459
CONS PINHAIS,"(array([-49.1927]), array([-25.4429]))",,7.275,0.226,40.0,7.153,0.383
CONS GOIANIA,"(-49.2643, -16.6864)",10.0,7.341,0.255,218.0,7.111,0.413
CONS JUAZEIRO,"(-40.5033, -9.41622)",46.0,8.14,0.152,40.0,7.66,0.408
CONS OURINHOS,"(-49.8697, -22.9797)",13.0,6.851,0.397,75.0,7.12,0.434
CONS NOSSA SENHORA DO SOCORRO,"(array([-37.1231]), array([-10.8468]))",,7.354,0.116,43.0,7.357,0.502
CONS BETIM,"(array([-44.2008]), array([-19.9668]))",,7.435,0.145,44.0,7.112,0.375
CONS ARACATUBA,"(array([-50.4401]), array([-21.2076]))",,6.89,0.266,113.0,7.12,0.379
CONS GUARAPUAVA,"(-51.4623, -25.3902)",5.0,6.583,0.21,69.0,6.949,0.407
DIST SANTOS,"(-46.335, -23.9535)",,,,,,
DIST SAO JOSE DO RIO PRETO,"(-49.3758, -20.8113)",,,,,,
DIST SALVADOR,"(-38.5011, -12.9718)",,,,,,
CONS SAO JOSE DO RIO PRETO,"(array([-49.3758]), array([-20.8113]))",,6.735,0.155,114.0,7.006,0.364
CONS VILA VELHA,"(array([-40.2875]), array([-20.3417]))",,7.319,0.172,62.0,6.901,0.389
DIST ARAXA,"(-46.9438, -19.5902)",,,,,,
CONS SERRA,"(-40.3074, -20.121)",20.0,7.195,0.127,57.0,6.923,0.407
DIST SAO LUIS GONZAGA DO MARANHAO,"(-44.6654, -4.38541)",,,,,,
CONS JEQUIE,"(-40.0877, -13.8509)",40.0,7.858,0.104,45.0,7.858,0.495
DIST VITORIA DE SANTO ANTAO,"(-35.2976, -8.12819)",,,,,,
CONS MONTES CLAROS,"(-43.8578, -16.7282)",4.0,7.402,0.203,66.0,7.024,0.408
CONS MARACANAU,"(array([-38.6259]), array([-3.86699]))",,7.296,0.357,50.0,7.53,0.339
